created_at,user_id,topic_id,stemmed_message
2023-10-25,32,0,ajar software blender tools temu software tambah wawas 3d kembang kreativitas jujur suka software kurang paham asistensi assisten praktek erti lupa tools langkah langkah buat asprak bantu senang hati
2023-10-25,31,1,tahap modelling selesai 5 pemberitahuan project tanggal 25 oktober jam 645 an d4204 demonstrasi lecturer demonstrasi jalan lancar ac tahap modelling bantu kakak tingkat dasar operasi blender first time guna senang hasil muas moga tahap tahap maksimal saran info lapor tentu tulis terima kasih lecturer mas assistant
2023-10-25,33,0,alam tugas 3d seru banget ya ajar blender pusing jus eh stres hehe untung tutor youtube teman kating rela luang ngajarin terima kasih kesediaanya syukur banget sih selesai asistensi tahap modelling moga depan lancar aamiin moga cepat mgvtulation deh biar plong alhamdulillah asisten praktikum fastrespon kalo dichat chil lupa dibantuin makas makas sih temu disukain dasar proses validasiasistensiku ya
2023-10-25,20,1,software blender ajar belah objek gabung objek lainlain erti shortcutshortcut kembang produk 3d blender cari tutorial youtube ajar kakak tingkat teman angkat
2023-10-25,9,2,alam ajar materi butuh teliti sabar ulet paham tutorial refrensi dekat bab luas imajinasi bayang tekstur warna objek alam bab jelas objek bentuk
2023-10-25,35,0,materi kali alhamdulillah pusing bingung ngarahin ajar samasama serasa tugas mgv ya kalo ajar blender
2023-10-27,36,1,alam validasi seru asprak baikuntuk ajar materi lumayan susah
2023-10-26,37,1,asyik seru tantang terseokseok ajar otodidak tutor baya kating nikmat
2023-10-26,37,0,maaf rekanrekan mahasiswa tep 23 sopan mohon bimbing akademik sikap terima kasih
2023-10-26,38,0,alam aju judul berguras pikir jadwal mata kuliah kalah cepat aju judul kelas juduljudul turut mudah isi penuh temantemanku bingung ambil judul pilih ambil judul anatomi usus manusia judul ac gegas beli kertas stempel kwu besok nya tanda tangan mas assistant
2023-10-26,38,1,alam modelling tarik judul terima lalu validasi tenang kuasa blender tutorial youtube coba nya gagal menang ovt tau kapai coba nya nol doa sekhusyu2nya tara im happy with my progres
2023-10-26,41,0,suka moga bintang ajar blender suka revisi tolong mas revisijangan terima kasih mas
2023-10-26,42,0,website nya bagus mudah paham keren bantu ajar inovasi media grafis 2d 3d seru
2023-10-26,43,0,ngerjain menang ngeluh gapapa deh materi banget ajar terima kasih lecturer
2023-10-26,44,0,seru sih ajar 3d tugas cari cari asprak kesal seru main main 3d
2023-10-26,45,0,alam blender ddalam desain 3d buat smk smk halang covid 19 pemberljaran evektif materi model suka sistensi asisten milik keingina sifat beda iitu mebuat terkadang bingung
2023-10-26,23,1,mgv jaya jaya jaya jaya jaya stres gapapa happy kayak terimakasih hehe
2023-10-26,1,1,usaha bab modelling ya allah ya allah everyday terima kasih tugas tugas nyebut sekian
2023-10-26,43,1,alhamdulillah selesai tugas grafis visual paham proses buat bahan ajar peran ajar
2023-10-26,46,1,alhamdulillah proyek selesai ajar proyek 3d syukur selesai bab 1
2023-10-26,46,0,suka hapus bidang sulit tata objek ajar ulang kali
2023-10-26,28,1,modul ajar bagus ajar modul simpel keren modul mudah akses
2023-10-26,47,0,ikut matkul tau erti 2d 3d erti tooltool sekar erti ajar proses matkul
2023-10-26,42,2,materi nya mudah paham bahasa inggris aku tau materi coloring texturing
2023-10-26,48,0,ajar kali materi ajar tarik mana tugas desain produk 3d
2023-10-26,21,1,seru banget tugas cuman laptop bikin greget moga rezeki biar beli laptop amin
2023-10-26,50,1,alam ajar campur aduk pusing hadap laptopsaya sulit laptop pada jujur mampu 0 karnasaya lulus ips makan kagettapi papa usaha menghianati hasilyang los hehehe puji tuhan sulit capeeini etik ya pokok teh capek bangettsoalnya duduk terussakit punggung
2023-10-26,51,1,alam kuliah ngeri ngeri sedap tugas mgv untung bidang passion tep bikin susah sih bikin produk asistensi nya ribet huhu emotnangis sekian thankyou
2023-10-26,50,0,objek garis lengkung kendali derajat lengkung mana tools cocok
2023-10-26,17,1,suka kerja tantang tugas minggu tambah deadline lumayan mula asprak temu katingnya bantu adik susah
2023-10-26,51,0,kuliah aman aman sih hehe kayak gampang banget gitoh i suka matkul matkul tep lucu lucu dosen sabar sabar lecturer abah zain hehe
2023-10-26,52,1,moga kuat tamat tugas lumayan tantang teka teki mecahin asprak lumayan sueru rodok rodok
2023-10-26,27,0,imgv tugas 3d alam kali softwere blender sulit kembang produk tutor teman kakak tingkat mudah ajar blender alam bilang konyol proses buat produk kampus menang asdos demonstrasi produk asdos menguhubungi asdos jam 1700 jam hampir asdos 1809 demonstrasi tutup jam 1800 asdos milik tuju sendiri tahu badmood putus batal demonstrasi asdos bab 1 3d moga kuatkuat deh moga lancar urus dosen asdos asprak rekan
2023-10-26,53,0,ajar 3d aplikasi blender paham tools blender pakai aplikasi pakai aplikasi bingung 3d
2023-10-26,54,1,suka giat media 3 dimensi ajar desain kenal desain kuliah sulit sesuai usaha tugas desain selesai sesuai deadline asistensi bantu baik ajar jadi hasil modeling
2023-10-26,54,0,pilih judul produk bingung erti desain cari referensi tutorial buat modeling blender putus pilih judul
2023-10-26,26,1,tugas modelling bab selesai pusing model hasil buruk proses demosntrasinya ulang hadap asisten praktikum jalan lancar
2023-10-26,5,2,ajar coloringtexturing samasama rumit modelling kemarin rumit modelling
2023-10-27,55,0,imgv asik banget saking asik nya pengin menang alam bikin desain 3d
2023-10-27,45,1,materi modeling sulit model type software beda suka model terkadang salah erti shortcut sengaja erti asisten asisten erti mampu
2023-10-27,57,0,ajar materi suka wawas paham cepat harap larai materi
2023-10-27,59,0,sungguh alam tantang mana sentuh software editing 3d usaha kuasa ilmu nya
2023-10-27,59,1,ajar 3d mana sentuh software 3d proses asistensi rumit kating
2023-10-27,60,0,materi ajar benda blender satu hasil model model 3d cepat suka model 3d lengkung bentuk sesuai suka proses blok gambar teliti alam asistensi senang bawa santai masuk masuk guna
2023-10-27,61,1,materi kali senang materi ajar materi tarik mana desain modeling kreatifitas sisi sulit dasar tau materi alami sulit kerja
2023-10-27,61,0,materi alami sulit dasar materi tantang jangka sebentar tugas
2023-10-27,62,0,alam ajar materi paham materi proses validasi asisten asisten ramah
2023-10-27,55,1,ajar imgv bikin stres fikir fikir asik tugas imgv hubung teman obrol obrol ketemu asprak asik asik heheh moga bab lancar amin
2023-10-27,22,2,alam ajar teksturing kesan kali ajar 3d blender sungguh alam kesan moga kuat
2023-10-27,64,0,penasaran ajar sisi sulit tools asik fungisonalnya shortcut depan bimbing tentu judul luang ringkup pilih sempit tantang serah proses kerja pantang utama malas ajar nyaman program software malas ajar program software
2023-10-27,65,0,alam tugas 3dimensi rintang rintang halhal bekal apa teknologi mata kuliah erti bidangbidang erti edit produk suka teman bantu teman ehehe
2023-10-27,66,1,alam ajar sulit mula ajar materi alam rasa pusing pusing nya pusing banget hehehe erti edit blender istighfar terus ucap allah allah terus
2023-10-27,67,1,ajar matri tarik seru tidsk suka susah cari ide bingung proses asistensi seru pol revisi hehehe
2023-10-27,67,0,ajar matri tarik seru tidsk suka susah cari ide bingung proses asistensi seru pol revisi hehehe dikit dikit yaallah yaallah hehehe
2023-10-27,68,0,suka duka materi suka nya paham erti pikir ajar nya senang object 3 dimensi paham erti tagih edit edit kualitas produk bagus bagus duka nya awal pusing langsung tugas arah erti guru tuntut mandiri gantung sulit paham softwarenya dosen bilang lecturer gampang mudah sulit
2023-10-27,68,1,asistensi nervous langsung asisten praktikum nervous temu asprak kakak kakak asprak helpful tugas tugas tugas relasi kakak tingkat lepas asistensi doa kakak asprak mudah tugas mudah perkuliahanya lulus terimakasih kakak kakak asprak
2023-10-27,69,0,pribadi materi tarik senang materi 2d materi temu tahu pengerjaanya bantu temanteman materi tingkat interaksi sosial teman kakak tingkat
2023-10-27,69,1,bab lumayan sulit kali ajar halhal bantu temanteman selesai asisten praktikum asik berat tugas
2023-10-27,70,1,alam ajar pantang serah ajar mgv alam mgv tarik butuh konsentrasi kerja mgv mantap semangat
2023-10-27,71,0,alam aplikasi blender kali seru sulit operasi aplikasi tahu pasti ajar ajar imgv sulit injak bab 1 bab pusing bingung operasi aplikasi alam asistensi uji asistensi mas assistant tantang tantang paham operasi blender
2023-10-27,71,1,bab modelling ajar arah aplikasi blender product bingung operasi ajar hasil ajar teman paham modelling product kali moga depan paham operasi aplikasi blender bab 1 alam asistensi asprak alhamdulillah jalan lancar cepat ac
2023-10-27,35,1,benerbener mah kalo orangorang ngajari stres berat ya alhamdulillah disyukurihidup dirasain proses instan percaya kalo kuat semangat
2023-10-27,72,0,pilih judul ragu opsi judul cari opsi judul pakai teman tentu judul kali aju judul spreadsheet judul teman harus konfirmasi judul sih beri tantang putus aju judul terima judul pilih mudah saya paham erti fiturfitur aplikasi blender bantu video tutorial youtube browsing internet selesai tugas imgv judul pilih
2023-10-27,72,1,sulit bab modelling minim artikel video tutorial judul coba temanteman ubah bentuk senang ajar aplikasi blender aplikasi butuh model tiru objek tampil digital selesai bab modelling bantu asisten praktikum imgv bantu proses modelling demontrasi bilang alat pada jadi duga hadap bab
2023-10-27,73,0,materi 3d tarik tantang inovasi baru kembang kali aplikasi blender sulit nali fitur fitur aplikasi blender fitur fitur kenal detail bingung implementasi langkah langkah tutorial dalam modelling giat asistensi validasi asisten praktikum jalan lancar demonstrasi alami kendala laptop giat asistensi jalan lancar
2023-10-30,74,0,materi materi sulit mdelling dasar aplikasi blender tau dasar nya mudah 3d aplikasi blender
2023-10-27,75,1,kasih tugas 3d oke 45 kasih tau selesain bab minggu situ panik cepat aju judul biar kayak teman sumpah tuh pusing banget gambar buat kayak cari referensi putus bikin gunung rap buru ngisi gform panik salah tanggal huhuhu gapapa aman benerin judul diac bikin panik tuh ngisi kertas gabole coret typo sumpah tuh ngisinya hati banget kalo keluar jatah uang makan beli kertas untung salah noda dikit banget gara bulpoinnya kering hapus jebret deh cerita segitu ya bab
2023-10-28,65,1,aplikasi blender lumayan rumit ajar intiinti aplikasi erti mudah
2023-10-28,66,0,alam materi senang bangga bikin aplikasi blender hehehe baik sesuai
2023-10-28,77,1,matkul mgv kali masuk materi 3d materi lecturer tugas mahasiswa angkat 23 karya 3d ajar desain lantas kaget dengar tugas lecturer pikir tempuh didik s1 jurus syukur jurus tep dulunya karya 3d alhamdulillah desain karya 3d bagus teman teman bangga capai ajar mata kuliah suruh cerita alam suka materi tentu suruh kontrak ribet maksud langsung bikin desain 3d nya langsung capek capek tanggal nya temu aspr
2023-10-28,77,0,matkul mgv kali lecturer tugas mahasiswa angkat 23 desain 3d lecturer memberitahukan tugas kaget frustasi berfikiran ajar desain coba lihat media youtube tutorial desain karya 3d coba software blender desain 3d tarik tentu nya ribet
2023-10-28,3,1,modelling alam seru tambah skil kait 3d asprak komunikatif bab jalan lancar
2023-10-28,78,0,jujur ajar blender kali hidup bingung banget tugas hallsuisseo alam ajar suka ya asistensi alhamdulillah asisten super pol bab 1 jalan lancarsemangat 7 ab
2023-10-28,79,0,suka desain 3d desain 3d gambar imajinasi nyata suka bingung buat 3d
2023-10-28,79,1,suka materi 3d tarik ajar terkadang bingung aplikasi imajinasi dalam bentuk 3d
2023-10-29,60,1,alam tarik ajar milik basic usaha kuasa praktikum kakak asisten ramah
2023-10-29,80,0,paham blender dasar nya paham lumayan habis hal tugas paham dasar blender ya produk selesai asistensi praktikum selesai report card salah tanggal mana miskom mas assistant moga kurang skor akibat lambat deadline
2023-10-29,80,1,hal kritik saran kerja modeling butuh cepat kejar deadline ngerjakan dasar nya
2023-10-30,74,1,kemarin asistensi pruduk bab modelling alhamdulillah mudah mendemontrasinya dasar dasar aplikasi blender
2023-10-30,83,0,spil khawatir bingung laptop sesuai alhamdulilah beli modelling lumayan susah
2023-10-30,84,1,suka ajar materi suka jiakalau bawa mouse susah bawa mouse
2023-10-30,84,0,susah cari benda tingkat kreativitas rendah pilih mobil judul suka mobil inspirasi internet mobil
2023-10-30,85,1,ajar mgv seru banget seru nya bintang eheheheh kali ya menang garagara imgv menang cinta imgv lecturer ehe seru sih mencaricari asprak tuh kenal katingkating tambah teman seru buru bintang lecturer sulit ku bikin 3d sih toolstools nya kadang bikin bingung pakai mouse ribet huhu imgv mudah mood ku teman ngerjain bareng bareng seru kaya eheheh
2023-10-30,86,0,aju judul erti tipe media ajar 3d pilih cocok pilih produk
2023-10-30,86,1,bab modelling laksana asistensi asprak saran saran baik depan
2023-10-31,4,0,proses cari judul sulit adu cepat cari judul cadang judul terima
2023-10-31,87,0,buat modelling bingung blender kali apk buat 3 dimensi datang teman senang hati ajar guna apk sabar suka lupa
2023-10-31,88,0,alam software blender bingung beda software 2d lihat youtube tutor teman
2023-10-31,88,1,bingung untung validasi lecturer challenge challenge susah modelling lancar
2023-10-31,14,2,moga kwat deh terimakasi kakak kakak asprak sulit sabar tunggu demonstrasi
2023-10-31,89,1,oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke
2023-10-31,89,0,alhamdulillah habis uang uang makan minggu beli kertas elite
2023-10-31,91,0,alam mempejalajari materi golong sulit sentuh software blender basic
2023-10-31,12,2,coloring pusing tujuh keliling ajar coloring texturing blender kir
2023-10-31,92,2,coloring mudah cuy gegara projek ku ikut mudah ya yaudah - moga lancar
2023-10-31,69,2,bab mudah ajar bab modelling erti macammacam shortcut blender ajar youtube coloring texturing seru
2023-10-31,2,3,pusing tujuh keliling coloring texturing lighting hadeuh tugas semangat
2023-10-31,88,3,lighting pusing tujuh keliling pertamakali pakai software blender moga lancar ajadeh bab bab aamiin
2023-11-01,7,2,alam kesan ajar modelling texturing kaya ajar hihi semangat
2023-11-01,37,2,seru tambah insight sayang versi lawas lumayan susah cari referensi tutiorial
2023-11-01,78,1,modeling jujur kali apk blender lose thingking pikir edit cari tutorial youtube diliatin pakai 025 speed biar paham alhamdulillah sesuai deadline asistensi asisten banget bantu
2023-11-01,93,0,modelling ambil ajar pertama basic aplikasi blender aplikasi blender kurang ajar ambil
2023-11-01,11,2,kritik saran demonstrasi produk alam kerja milik keluh kait lambat datang asprak demonstrasi produk seringkali tunggu ganggu efisiensi demonstrasi membuangbuang saran selenggara hadir asprak demonstrasi jalan lancar aplikasi imgv alami bug ganggu alam ikut demonstrasi produk saran lapor kembang aplikasi baik tingkat kualitas lelah keroyok tugastugas saran teman peka bantu tugas tugas berat
2023-11-01,41,3,seru seru revisi sabar butuh tutorial ajar mword margin biar reportku salah
2023-11-01,27,2,impostor bintang tugas imgv temanteman keliahan sifat aslinnya pulang malam revisi gapapalah moga kuatkuat ajaah
2023-11-01,24,2,ya allah moga laptop diri selesai tugas imgv lancar hasil sempurna telat 1 detik moga laptop ku rewel ya allah moga waras imgv selesai moga selesai bobok pikir ya allah
2023-11-01,25,2,moga laptop aman lancar 3d akhirdan moga menyeleaikan tugas imgv sempurna hasil muas amin
2023-11-01,95,0,sabar sabar sabar sabar sabar sabar sabar sabar sabar sabar sabar sabar sabar
2023-11-01,96,0,moga lancar kesabara tabah sabar sabar sabar sabar sabar sabar sabar si
2023-11-01,96,1,bismillah nomor nomor manut alur e gusti lan sabar sabar sabar sabar sabar sabar sabar sabar sabar sabar sabar sabar sabar
2023-11-01,10,2,suka coloring seru nyatu2 warna laptop serasa ledak validasi alhamdulillah kakak baikbaik banget bantuin banget apaapa menang hehehehe terimakasih ya kakak moga hari minggu
2023-11-01,26,2,alam bab texturing kepala pusing mumet karuan bingung pasuk texture 3 hari bisabisa salah mencet texturenya
2023-11-01,3,2,alhamdulliilah bab coloring sulit asistensi cepat asprak mudah hubung fast respon
2023-11-01,97,1,modelling bab 1 lelah hahaha uras tenaga uras pikir jam tidue ubah usaha keras offering ku asa anak egois cewek ego anak suka sikap ya hehe
2023-11-01,98,0,pilih produk bikin binggung judul produk judul uda pakai teman teman binggung pilih judul produk
2023-11-01,38,2,coloring mudah modeling proses susah menang menang 3 jam garagara laptop mati deadline h1 yaallah100x yaallah yaallah yaallah yaallah yaallah
2023-11-01,19,0,cerita alam aju produk mudah aju judul produk meunggu ac lanjut ttd prc sih mudah bikin susah tuh ya anak ambil judul salah sih
2023-11-01,19,2,coloring texturing unexpected banget tutor youtube mudah eh praktek susah otodidak 3d blender alhamdulillah gagal berkalikali hasil muas
2023-11-01,99,0,alam materi tegang pilih juduk timbang babbab depan kenal buka aplikasi blender pilih judul berat depan
2023-11-01,99,1,ajar materi bab 2 i kejut tegang kali blender tools erti ajar modeling pusing desain selesai
2023-11-01,99,2,materi kali pusing 3 malam temu solusi salah tools tekstur masuk
2023-11-01,35,2,alhamdulillah bab kali ringan texture cocok banget texturenya malahsemangat bismillah lancar ros
2023-11-01,8,2,alhamdulillah coloring lumayan mudah daripda modelling heheasprak bab 2 asyik bantu sekalisuks kak daffa
2023-11-01,5,3,alam ajar bab lighting lumayan bingung atur lighting cocok objek
2023-11-01,9,3,alam ajar materi tantang teliti tepat langkah proses keluh kesah asi enjoy your proces
2023-11-02,33,2,praktek materi proses coloring mending daripads proses modelling butuh proses asistensi kali lega revisi kumpul projek asprak ramah
2023-11-02,67,2,bab coloring texturing seru tarik ubah ubah warna sesuai cerita kalo tugas mgv begadang huhuhu dah rasa enak tidur siang hehehe tugas seru pol
2023-11-02,74,2,bab 2 bingung bab 1 tau tempat tekstur warna objek tutor mudah bab 2
2023-11-02,101,0,alam 3d mana buat pikir buat senang tambah terampil editing harap moga depan mudah alhamdulillah judul divalidasi coba
2023-11-02,101,1,alhamdulillah bab modeling asprak baaik banget kakak kayak ajar asih masuk moga allah mudah urus deh
2023-11-02,1,2,proses coloring mudah proses modelling lumayan biasa operasi blender pusing dikit its oke nama ajar
2023-11-02,102,2,mata kuliah media gravus visual bab 2 asik senang judul project pilih lumayan mudah
2023-11-02,102,2,mata kuliah inovasi media grafis visual bab 2 asik senang judul project lumayan mudah
2023-11-02,102,0,mata kuliah media grafis visual mudah ajar bantu mampu bidang editing
2023-11-02,102,1,asistensi bikin pusing capek lelah malas serah gajadi asprak asprak slowrespon terima kasih
2023-11-02,103,1,ajar materi produk yaallah yaallah yaallah alam asprak jalan
2023-11-02,103,0,ajar materi tambah ilmu desain grafis praktek susah mbuatnya yaallah yaallah yaallah astagfirullah
2023-11-02,85,2,capek istirahat pulkam ngulang masamasa jujurly kuat kuat kuatir ahaha becanda sungguhsungguh jurus ku pilih ehe coba teknologi didik 3 jalur garagara imgv nyerah oh bro hadap imgv sesegukan dikit eheheh asli imgv tuh seru banget tau seru mana seru isi kepala ngebul isi kepala doang laptop tahantahan semester 1 tahan stres sisa air mata nya projectproject sih u project ngoding
